10962.36,1286.06,2316.69,11595.18,18925.01,35779.3,2061.28,1020.87,1638.09,4653,3670.2,5735.1,4890.24,5542.13,10955.8,36661,447.4,976.02,7798.1,1255.92,16445.19,15719.37,983.72,4836.907,1402.58,2850.7,6725.61,1256.253,911.16,2334.86
10959.87,1287.61,2317.04,11604.82,18889.2,35897.12,2069.56,1054.71,1645.24,4602.95,3629.25,5711,4850.53,5483.09,10850.7,36265,441.37,967.26,7802.5,1239.76,16454.95,15787.97,978.81,4836.742,1416.28,2850.55,6682.35,1250.428,911.9,2333.01
10896.32,1282.93,2302.69,11689.61,18489.63,36119.37,2055.69,1094.85,1661.59,4853.38,3610.07,5699,4807.14,5460.16,10806.3,36352,438.51,960.77,7785.63,1253.58,15805.95,15576.2,964.29,4866.11,1389.58,2829.1,6711.04,1212.87,907.52,2308.01
10854.86,1277.93,2279.64,11554.49,18265.96,35805.19,2051.85,1077.92,1645.52,4904.42,3570.17,5663.7,4772.09,5395.61,10708.1,36024,434.21,941.61,7726.45,1235.01,15341.18,15481.21,983.62,4786.88,1352.91,2809.2,6498.92,1193.196,901.32,2290.16
10880.71,1285.04,2301.81,11692.97,18521.45,36858.19,2069.96,1060.73,1701.18,4998.83,3593.22,5693.2,4814.09,5430.84,10821.5,36086,436.62,943.44,7771.61,1278.28,15696.28,15670.42,991.22,4840.928,1360.64,2870.85,6512.29,1230.059,902.7,2310.7
10667.39,1261.48,2247.7,11605.67,18346.23,36694.65,2063.55,1070.67,1701.88,4951.74,3550.8,5672.4,4773.48,5349.02,10740.9,35681,432.2,935.87,7697.53,1304.53,15696.69,15662.08,993.34,4854.441,1324.78,2900.95,6486.63,1222.888,905.41,2320.61
10688.77,1263.83,2248.47,11733.37,18447.11,36631.75,2047.55,1084.01,1698.98,5009.36,3544.31,5660.9,4751.99,5348.72,10712.2,35787,431.88,935.14,7702.66,1295.39,15360.65,15464.77,996.16,4812.072,1297.43,2884.05,6381.97,1200.127,902.51,2296.88
10712.22,1266.86,2265.25,11692.35,18875.41,37399.67,2056.15,1099.13,1697.92,5119.63,3532.68,5633.8,4748.32,5334.3,10665.6,35652,431.51,929.22,7692.56,1307.05,15648.89,15530.57,999.09,4824.793,1326.83,2908,6451.94,1207.22,906.98,2302.97
10749.76,1254.78,2244.96,11817.3,18665.06,36561.7,2105.67,992.77,1695.04,6289.8,3680.8,5746.8,4935.4,5672.92,11175.1,36711,453.03,961.71,7837.34,1330.64,16720.99,15517.01,1029.94,4905.363,1332.28,3020.1,6720.08,1259.362,923.84,2374.32
10858.62,1265.65,2266.98,11735.12,18410.24,36499.41,2111.83,990.18,1717.53,6114.81,3671.37,5725.1,4895.08,5666.41,11202.6,36650,452.62,965.81,7831.9,1335.19,16272.68,15373.44,1033.07,4831.446,1310.99,3008.95,6624.11,1238.17,918.92,2355.87
